Red_Hot,Whiskey_Bridge,Banks,Seymour,modern_DE
,,16.45,26.50,
,,16.47,27.00,
,,16.47,27.00,
,,16.49,27.00,
,,16.50,27.00,
,,16.51,27.00,
,,16.59,27.00,
,,16.60,27.00,
,,16.62,27.50,
,,16.71,27.62,
,,16.72,28.00,
,,16.75,28.00,
,,16.79,28.00,
,,16.81,28.00,
,,16.81,28.30,
,,16.81,28.50,
,,16.83,28.50,
,,16.88,28.50,
,,16.88,28.50,
,,16.89,28.50,
,,16.91,28.50,
,,16.91,28.50,
,,16.93,28.50,
,,16.94,28.50,
,,16.97,29.00,
,,16.98,29.00,
,,16.98,29.00,
,,17.02,29.00,
,,17.09,29.00,
,,17.10,29.50,
,,17.12,30.00,
,,17.20,30.00,
,,17.23,31.00,
,,17.25,31.00,
,,17.26,31.00,
,,17.31,31.50,
,,17.31,32.00,
,,17.33,32.00,
,,17.36,32.00,
,,17.36,32.22,
,,17.37,32.50,
,,17.38,33.50,
,,17.45,34.00,
,,17.51,34.50,
,,17.53,36.00,
,,17.56,36.50,
,,17.60,36.50,
,,17.61,37.00,
,,17.65,37.00,
,,17.72,38.00,
,,17.81,38.50,
,,17.83,39.50,
,,17.87,41.00,
,,17.90,11.00,
,,17.90,11.00,
,,17.91,11.44,
,,17.94,11.54,
,,17.94,11.59,
,,17.95,11.87,
,,17.95,11.94,
,,17.97,12.08,
,,17.99,12.38,
,,18.03,12.49,
,,18.05,12.50,
,,18.05,12.50,
,,18.06,12.55,
,,18.09,12.64,
,,18.12,12.66,
,,18.13,12.78,
,,18.14,12.93,
,,18.16,13.00,
,,18.24,13.05,
,,18.24,13.31,
,,18.27,13.31,
,,18.28,13.47,
,,18.34,13.50,
,,18.35,14.00,
,,18.36,14.00,
,,18.36,14.08,
,,18.37,14.40,
,,18.44,14.50,
,,18.46,14.51,
,,18.49,14.67,
,,18.53,14.97,
,,18.58,14.97,
,,18.60,14.99,
,,18.64,15.00,
,,18.76,15.00,
,,18.82,15.44,
,,18.88,15.50,
,,18.89,15.50,
,,18.93,15.50,
,,18.94,15.50,
,,18.96,15.51,
,,19.02,15.65,
,,19.04,15.68,
,,19.04,16.00,
,,19.08,16.00,
,,19.12,16.00,
,,19.12,16.03,
,,19.26,16.42,
,,19.32,16.50,
,,19.35,16.72,
,,19.51,17.00,
,,19.55,17.00,
,,19.75,17.12,
,,19.77,17.15,
,,19.79,17.25,
,,20.54,17.47,
,,,17.50,
,,,18.00,
,,,18.00,
,,,18.00,
,,,18.50,
,,,18.50,
,,,18.54,
,,,18.64,
,,,19.00,
,,,19.00,
,,,19.00,
,,,19.00,
,,,19.00,
,,,19.00,
,,,19.00,
,,,19.12,
,,,19.77,
,,,19.89,
,,,20.00,
,,,20.00,
,,,20.00,
,,,20.00,
,,,20.00,
,,,20.00,
,,,20.19,
,,,20.50,
,,,21.00,
,,,21.00,
,,,21.83,
,,,22.00,
,,,22.00,
,,,22.83,
,,,23.00,
,,,23.00,
,,,23.00,
,,,23.00,
,,,23.02,
,,,23.57,
,,,24.50,
,,,24.94,
,,,25.00,
,,,25.00,
,,,26.00,
,,,26.00,
,,,27.25,
,,,27.50,
,,,28.00,
,,,28.62,
,,,30.00,
,,,30.50,
,,,35.52,
,,,36.00,
,,,38.00,
