locality,anterior_tooth_mm
Banks,12.55
Banks,12.58
Banks,12.58
Banks,12.59
Banks,12.61
Banks,12.62
Banks,12.64
Banks,12.71
Banks,12.75
Banks,12.75
Banks,12.75
Banks,12.79
Banks,12.8
Banks,12.84
Banks,12.86
Banks,12.88
Banks,12.89
Banks,12.92
Banks,12.96
Banks,13.03
Banks,13.06
Banks,13.1
Banks,13.12
Banks,13.13
Banks,13.21
Banks,13.24
Banks,13.26
Banks,13.28
Banks,13.33
Banks,13.4
Banks,13.43
Banks,13.51
Banks,13.64
Banks,13.73
Banks,13.74
Banks,13.74
Banks,13.79
Banks,13.8
Banks,13.8
Banks,13.88
Banks,13.98
Banks,14.02
Banks,14.1
Banks,14.11
Banks,14.14
Banks,14.14
Banks,14.15
Banks,14.16
Banks,14.17
Banks,14.19
Banks,14.2
Banks,14.21
Banks,14.23
Banks,14.23
Banks,14.25
Banks,14.26
Banks,14.28
Banks,14.31
Banks,14.34
Banks,14.37
Banks,14.43
Banks,14.47
Banks,14.48
Banks,14.48
Banks,14.5
Banks,14.51
Banks,14.52
Banks,14.53
Banks,14.55
Banks,14.57
Banks,14.6
Banks,14.61
Banks,14.64
Banks,14.71
Banks,14.73
Banks,14.75
Banks,14.8
Banks,14.81
Banks,14.85
Banks,14.86
Banks,14.87
Banks,14.96
Banks,14.97
Banks,14.99
Banks,15.06
Banks,15.08
Banks,15.1
Banks,15.12
Banks,15.13
Banks,15.19
Banks,15.22
Banks,15.28
Banks,15.29
Banks,15.31
Banks,15.45
Banks,15.45
Banks,15.46
Banks,15.48
Banks,15.56
Banks,15.56
Banks,15.6
Banks,15.6
Banks,15.61
Banks,15.64
Banks,15.67
Banks,15.7
Banks,15.73
Banks,15.74
Banks,15.76
Banks,15.78
Banks,15.8
Banks,15.82
Banks,15.83
Banks,15.9
Banks,15.91
Banks,15.94
Banks,16
Banks,16.03
Banks,16.04
Banks,16.05
Banks,16.13
Banks,16.19
Banks,16.2
Banks,16.21
Banks,16.28
Banks,16.3
Banks,16.32
Banks,16.36
Banks,16.37
Banks,16.38
Banks,16.4
Banks,16.43
Banks,16.45
Banks,16.47
Banks,16.47
Banks,16.49
Banks,16.5
Banks,16.51
Banks,16.59
Banks,16.6
Banks,16.62
Banks,16.71
Banks,16.72
Banks,16.75
Banks,16.79
Banks,16.81
Banks,16.81
Banks,16.81
Banks,16.83
Banks,16.88
Banks,16.88
Banks,16.89
Banks,16.91
Banks,16.91
Banks,16.93
Banks,16.94
Banks,16.97
Banks,16.98
Banks,16.98
Banks,17.02
Banks,17.09
Banks,17.1
Banks,17.12
Banks,17.2
Banks,17.23
Banks,17.25
Banks,17.26
Banks,17.31
Banks,17.31
Banks,17.33
Banks,17.36
Banks,17.36
Banks,17.37
Banks,17.38
Banks,17.45
Banks,17.51
Banks,17.53
Banks,17.56
Banks,17.6
Banks,17.61
Banks,17.65
Banks,17.72
Banks,17.81
Banks,17.83
Banks,17.87
Banks,17.9
Banks,17.9
Banks,17.91
Banks,17.94
Banks,17.94
Banks,17.95
Banks,17.95
Banks,17.97
Banks,17.99
Banks,18.03
Banks,18.05
Banks,18.05
Banks,18.06
Banks,18.09
Banks,18.12
Banks,18.13
Banks,18.14
Banks,18.16
Banks,18.24
Banks,18.24
Banks,18.27
Banks,18.28
Banks,18.34
Banks,18.35
Banks,18.36
Banks,18.36
Banks,18.37
Banks,18.44
Banks,18.46
Banks,18.49
Banks,18.53
Banks,18.58
Banks,18.6
Banks,18.64
Banks,18.76
Banks,18.82
Banks,18.88
Banks,18.89
Banks,18.93
Banks,18.94
Banks,18.96
Banks,19.02
Banks,19.04
Banks,19.04
Banks,19.08
Banks,19.12
Banks,19.12
Banks,19.26
Banks,19.32
Banks,19.35
Banks,19.51
Banks,19.55
Banks,19.75
Banks,19.77
Banks,19.79
Banks,20.54
Seymour,10.5
Seymour,10.56
Seymour,10.85
Seymour,12.09
Seymour,12.49
Seymour,13.25
Seymour,13.63
Seymour,13.81
Seymour,13.89
Seymour,14
Seymour,14
Seymour,14.19
Seymour,14.44
Seymour,14.73
Seymour,14.77
Seymour,14.92
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15.25
Seymour,15.51
Seymour,15.87
Seymour,16.5
Seymour,16.59
Seymour,17
Seymour,17
Seymour,17.41
Seymour,17.74
Seymour,17.9
Seymour,17.96
Seymour,18.58
Seymour,18.88
Seymour,18.9
Seymour,19.01
Seymour,19.46
Seymour,19.49
Seymour,19.5
Seymour,20.17
Seymour,21.48
Seymour,24.75
Seymour,25.5
Seymour,26.15
Seymour,26.66
Seymour,28.92
Seymour,29.5
Seymour,29.57
Seymour,30.07
Seymour,32.19
Seymour,33.14
Seymour,33.88
Seymour,12.13
Seymour,12.41
Seymour,14.13
Seymour,15.17
Seymour,17
Seymour,17.36
Seymour,19
Seymour,21.39
Seymour,24.18
Seymour,27.76
Seymour,30.77
Seymour,35.5
Seymour,36.38
Seymour,10
Seymour,10
Seymour,10
Seymour,10.44
Seymour,10.5
Seymour,10.5
Seymour,10.56
Seymour,11
Seymour,11
Seymour,11
Seymour,11
Seymour,11.5
Seymour,11.5
Seymour,11.5
Seymour,11.5
Seymour,12
Seymour,12
Seymour,12
Seymour,12
Seymour,12
Seymour,12
Seymour,12.29
Seymour,12.5
Seymour,12.5
Seymour,12.5
Seymour,13
Seymour,13
Seymour,13
Seymour,13.1
Seymour,13.28
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,13.5
Seymour,14
Seymour,14
Seymour,14
Seymour,14
Seymour,14
Seymour,14
Seymour,14
Seymour,14
Seymour,14.49
Seymour,14.5
Seymour,14.5
Seymour,14.5
Seymour,14.5
Seymour,14.5
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15
Seymour,15.25
Seymour,15.5
Seymour,15.5
Seymour,15.5
Seymour,15.5
Seymour,15.5
Seymour,15.51
Seymour,15.62
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,16.5
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17
Seymour,17.1
Seymour,17.5
Seymour,17.5
Seymour,17.5
Seymour,17.89
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18
Seymour,18.5
Seymour,18.5
Seymour,18.5
Seymour,18.5
Seymour,18.5
Seymour,18.5
